INFO:     Started server process [5100]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2026-09-10 14:40:28,950 | INFO | app.claude_provider | claude_provider: using Azure OpenAI deployment gpt-5.4 at https://ai-adoption-coe.services.ai.azure.com (timeout=300.0s, max_retries=0)
2026-09-10 14:40:28,951 | INFO | azure.core.pipeline.policies.http_logging_policy | Request URL: 'http://169.254.169.254/metadata/identity/oauth2/token?api-version=2018-02-01&resource=REDACTED'
Request method: 'GET'
Request headers:
    'User-Agent': 'azsdk-python-identity/1.25.3 Python/3.14.6 (Windows-11-10.0.26200-SP0)'
No body was attached to the request
2026-09-10 14:40:33,179 | INFO | azure.identity._credentials.chained | DefaultAzureCredential acquired a token from AzureCliCredential
2026-09-10 14:40:48,100 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:40:48,112 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=4075 budget=2000 effort=none
2026-09-10 14:40:48,117 | INFO | SOWKeyFacts | Key facts extracted for f8dcc57a: 11 field(s) populated (assumptions, client_name, duration, effective_start_date, end_date, go_live_date, in_scope, key_milestones, notable_dates, project_name, scope_summary)
2026-09-10 14:40:51,678 | INFO | SlideRenderer | Rendered 6 slide(s) from Metro_SAP_CALM_Proposal.pptx
2026-09-10 14:40:51,903 | INFO | app.image_index | Loaded 3717 images from C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\image_chunks.json
2026-09-10 14:40:51,910 | INFO | app.image_index | Image index loaded: C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\image_chunks.json
2026-09-10 14:40:52,637 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:52,639 | INFO | openai._base_client | Retrying request to /chat/completions in 0.498165 seconds
2026-09-10 14:40:53,797 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
